#
#
#
#
#
#
#
#
Mass Radius Temp Rho Pres Lumi O16 Na Mg Al Si P S Ca Cr Fe Ni Intentionally_Blank
0.01517945368456094 0.18567352064040182 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.01567223480952974 0.18769172814314863 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.016175405272738235 0.18970993564589547 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.016689064463614182 0.19172814314864228 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.017187745755233238 0.19374226965939412 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.017696610638846148 0.19575655313137655 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.018215672674252385 0.19777067964212838 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.01874510737658455 0.19978496311411081 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.019284924428746096 0.20179908962486265 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.019835257763753056 0.2038132161356145 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.020396244747547233 0.20582749960759691 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.02096788910763915 0.20784162611834878 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.0215503266932956 0.2098557526291006 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.02214369544970043 0.21187003610108304 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.022747993473589544 0.21388416261183488 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.023363406455661057 0.2158984460838173 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.02398992783788392 0.21791257259456914 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.024627695449713542 0.21992669910532098 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.025276850298871143 0.2219409825773034 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.02593737943782099 0.22395510908805524 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.02660947607229793 0.22596939256003767 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.027293122361609523 0.2279835190707895 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.027988458674588147 0.22999764558154137 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.02869562868477042 0.23201192905352377 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.029414608454789257 0.23402605556427564 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.030145539921605024 0.23604018207502747 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.030888568401483775 0.23805446554700987 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.031643663161454734 0.24006859205776174 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.03241102853032739 0.24208287552974414 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.03319062851064455 0.244097002040496 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.03398260770307397 0.24611112855124784 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.0347871142093256 0.24812541202323027 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.03560410561769216 0.25013953853398213 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.03643379317154218 0.25215382200596453 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.03727612965954746 0.25416794851671637 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.03813126171267843 0.2561820750274682 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.03899934027611872 0.25819635849945066 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.03988031082849635 0.2602104850102025 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.04077439238474997 0.2622247684821849 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.04168152546209606 0.26423889499293673 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.042601859437113754 0.26625302150368857 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.043535548172625914 0.26826730497567103 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.04448252383803057 0.27028143148642286 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.045442937472314184 0.2722955579971747 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.046416944703124005 0.2743098414691571 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.04740447078317784 0.27632396797990894 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.04840574676781892 0.2783382514518914 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.049420692672180876 0.28035237796264323 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.05044946236548077 0.28236650447339506 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.05149221447560308 0.28438078794537747 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.052548859302883076 0.28639491445612936 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.05361963792741197 0.28840919792811176 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.05470445612934261 0.2904233244388636 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.0558034706429 0.29243745094961543 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.056916842181978546 0.2944517344215979 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.058044469248677115 0.2964658609323497 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.059186509359114514 0.29847998744310156 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.060343125017241386 0.30049427091508396 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.06151420639163516 0.3025083974258358 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.06270000633024976 0.30452268089781825 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.06390040834599484 0.3065368074085701 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.06511557486209629 0.3085509339193219 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.0663456703740209 0.3105652173913043 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.06759056980221269 0.3125793439020562 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.06885053465972256 0.3145936273740386 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.07012543513470394 0.31660775388479045 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.07141543446283603 0.3186218803955423 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.07272070231747595 0.32063616386752475 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.07404109787669644 0.3226502903782766 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.0753767861001921 0.3246644168890284 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.07672793735827023 0.3266787003610108 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.0780944029796136 0.32869282687176266 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.07947645985970192 0.3307071103437451 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.08087395209621442 0.33272123685449695 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.08228704875741517 0.3347353633652488 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.08371592204739443 0.3367496468372312 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.08516040808236768 0.338763773347983 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.08662079159730945 0.3407780568199655 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.08809690252457826 0.3427921833307173 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.08958891161268684 0.34480630984146915 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.09109699402192907 0.34682059331345155 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.09262097029658801 0.34883471982420344 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.09416113564882378 0.35084900329618585 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.09571730162053087 0.3528631298069377 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.09728964319174217 0.3548772563176895 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.09887833848576878 0.356891539789672 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.10048319215708301 0.3589056663004238 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.10210437814579429 0.36091979281117564 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.10374207775429099 0.36293407628315805 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.10539608449469444 0.3649482027939099 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.10706670703703666 0.36696248626589234 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.10875373232193089 0.3689766127766442 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.11045734004147864 0.370990739287396 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.11217771149648817 0.3730050227593784 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.1139146236818936 0.3750191492701303 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.11566839615069432 0.3770334327421127 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.11743879767302934 0.37904755925286454 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
