Counter,mX[GeV],mA[GeV],Epsilon,Capture[s-1],Annihilation[s-1],GammaAnn[s-1],IceCubeSignal,LiveTime[s],SommerfeldFile,BranchingRatioFile,Resolution,Kappa0[GeV5]
210, ,0.010353218432956621,2.0022003718155844e-11,None,None,None,None, , , , , 
211, ,0.010353218432956621,2.1461411978584013e-11,None,None,None,None, , , , , 
212, ,0.010353218432956621,2.300430119772921e-11,None,None,None,None, , , , , 
213, ,0.010353218432956621,2.465811075822604e-11,None,None,None,None, , , , , 
214, ,0.010353218432956621,2.643081486974103e-11,None,None,None,None, , , , , 
215, ,0.010353218432956621,2.833096101839318e-11,None,None,None,None, , , , , 
216, ,0.010353218432956621,3.036771118035461e-11,None,None,None,None, , , , , 
217, ,0.010353218432956621,3.255088599835057e-11,None,None,None,None, , , , , 
218, ,0.010353218432956621,3.4891012134067674e-11,None,None,None,None, , , , , 
219, ,0.010353218432956621,3.739937302478801e-11,None,None,None,None, , , , , 
220, ,0.010353218432956621,4.0088063288984646e-11,None,None,None,None, , , , , 
221, ,0.010353218432956621,4.297004704320835e-11,None,None,None,None, , , , , 
222, ,0.010353218432956621,4.605922041145113e-11,None,None,None,None, , , , , 
223, ,0.010353218432956621,4.937047852839004e-11,None,None,None,None, , , , , 
224, ,0.010353218432956621,5.2919787359584366e-11,None,None,None,None, , , , , 
225, ,0.010353218432956621,5.672426068491989e-11,None,None,None,None, , , , , 
226, ,0.010353218432956621,6.080224261649427e-11,None,None,None,None, , , , , 
227, ,0.010353218432956621,6.517339604882421e-11,None,None,None,None, , , , , 
228, ,0.010353218432956621,6.985879746785235e-11,None,None,None,None, , , , , 
229, ,0.010353218432956621,7.48810385759003e-11,None,None,None,None, , , , , 
230, ,0.010353218432956621,8.026433522257174e-11,None,None,None,None, , , , , 
231, ,0.010353218432956621,8.603464416684492e-11,None,None,None,None, , , , , 
232, ,0.010353218432956621,9.221978823334341e-11,None,None,None,None, , , , , 
233, ,0.010353218432956621,9.884959046625586e-11,None,None,None,None, , , , , 
234, ,0.010353218432956621,1.0595601792776149e-10,None,None,None,None, , , , , 
