Counter,mX[GeV],mA[GeV],Epsilon,Capture[s-1],Annihilation[s-1],GammaAnn[s-1],IceCubeSignal,LiveTime[s]SommerfeldFile,BranchingRatioFile,Resolution,Kappa0[GeV5],LiveTime[s],SommerfeldFile
316, ,0.0345510729459222,3.455107294592218e-06,None,None,None,None,  , , , ,,
317, ,0.0345510729459222,4.923882631706742e-06,None,None,None,None,  , , , ,,
318, ,0.0345510729459222,7.017038286703837e-06,None,None,None,None,  , , , ,,
319, ,0.0345510729459222,1e-05,None,None,None,None,  , , , ,,
320, ,0.04124626382901352,1e-11,None,None,None,None,  , , , ,,
321, ,0.04124626382901352,1.4251026703029963e-11,None,None,None,None,  , , , ,,
322, ,0.04124626382901352,2.030917620904739e-11,None,None,None,None,  , , , ,,
323, ,0.04124626382901352,2.894266124716752e-11,None,None,None,None,  , , , ,,
324, ,0.04124626382901352,4.124626382901348e-11,None,None,None,None,  , , , ,,
325, ,0.04124626382901352,5.878016072274923e-11,None,None,None,None,  , , , ,,
326, ,0.04124626382901352,8.376776400682924e-11,None,None,None,None,  , , , ,,
327, ,0.04124626382901352,1.1937766417144357e-10,None,None,None,None,  , , , ,,
328, ,0.04124626382901352,1.7012542798525856e-10,None,None,None,None,  , , , ,,
329, ,0.04124626382901352,2.4244620170823307e-10,None,None,None,None,  , , , ,,
330, ,0.04124626382901352,3.455107294592218e-10,None,None,None,None,  , , , ,,
331, ,0.04124626382901352,4.923882631706752e-10,None,None,None,None,  , , , ,,
332, ,0.04124626382901352,7.017038286703836e-10,None,None,None,None,  , , , ,,
333, ,0.04124626382901352,1e-09,None,None,None,None,  , , , ,,
334, ,0.04124626382901352,1.4251026703029963e-09,None,None,None,None,  , , , ,,
335, ,0.04124626382901352,2.0309176209047387e-09,None,None,None,None,  , , , ,,
336, ,0.04124626382901352,2.8942661247167516e-09,None,None,None,None,  , , , ,,
337, ,0.04124626382901352,4.124626382901348e-09,None,None,None,None,  , , , ,,
